,page,pageviews_x,pageviews_y,category,delta,pagecount,tmp
733641,Margaret_Roper,50,164.0,16th-century_English_people,-0.6951219512195121,1190,1
94505,Cloudesley_Shovell,14,41.0,17th-century_English_people,-0.6585365853658536,766,1
195182,Donald_McKay,6,12.0,1810_births,-0.5,281,1
1215469,Theophilus_Shepstone,6,14.0,1817_births,-0.5714285714285714,277,1
57753,Charles_L._Robinson,6,16.0,1818_births,-0.625,314,1
1239939,Tom_Hyer,12,27.0,1819_births,-0.5555555555555556,287,1
602002,Kanaung_Mintha,10,19.0,1820_births,-0.4736842105263158,319,1
1323383,William_Poole,430,1278.0,1821_births,-0.6635367762128326,296,1
864089,Nikolay_Danilevsky,6,11.0,1822_births,-0.4545454545454546,295,1
1015969,Robert_Morris_(lawyer),6,11.0,1823_births,-0.4545454545454546,298,1
399530,Henry_Lascelles___4th_Earl_of_Harewood,23,126.0,1824_births,-0.8174603174603174,327,1
1321996,William_McGonagall,67,434.0,1825_births,-0.8456221198156681,335,1
356889,Grand_Duchess_Elizabeth_Mikhailovna_of_Russia,6,16.0,1826_births,-0.625,294,1
636526,Kinooleoliliha,6,24.0,1827_births,-0.75,295,1
1064767,Samuel_J._Randall,8,18.0,1828_births,-0.5555555555555556,314,1
1010201,Robert_E._Rodes,7,14.0,1829_births,-0.5,279,1
601442,Kamehameha_V,84,294.0,1830_births,-0.7142857142857143,326,1
729017,Marcelino_Sanz_de_Sautuola,14,310.0,1831_births,-0.9548387096774194,328,1
555108,John_Owen_Dominis,39,135.0,1832_births,-0.7111111111111111,339,1
226203,Edward_William_Godwin,7,19.0,1833_births,-0.631578947368421,317,1
601441,Kamehameha_IV,85,531.0,1834_births,-0.839924670433145,303,1
709051,Lunalilo,117,305.0,1835_births,-0.6163934426229508,331,1
956690,Queen_Emma_of_Hawaii,71,174.0,1836_births,-0.5919540229885057,323,1
561127,John_Taylor_(Taylor_Ham),6,18.0,1837_births,-0.6666666666666667,394,1
400617,Henry_Pulleine,14,30.0,1838_births,-0.5333333333333333,313,1
58074,Charles_Longuet,7,25.0,1839_births,-0.72,332,1
1124854,St_Andrew_St_John___15th_Baron_St_John_of_Bletso,14,35.0,1840_births,-0.6,406,1
202665,Douglas_Spalding,7,13.0,1841_births,-0.46153846153846156,351,1
399839,Henry_Marc_Brunel,18,123.0,1842_births,-0.8536585365853658,344,1
995871,Richard_Rowland_Kirkland,11,172.0,1843_births,-0.936046511627907,356,1
45685,Cathay_Williams,32,149.0,1844_births,-0.785234899328859,367,1
465568,James_Carey,39,368.0,1845_births,-0.8940217391304348,328,1
222012,Edward_Baker_Lincoln,430,873.0,1846_births,-0.5074455899198167,345,1
1065352,Samuel_Porter_Jones,7,17.0,1847_births,-0.5882352941176471,357,1
62160,Charlie_Bowdre,95,220.0,1848_births,-0.5681818181818181,374,1
705754,Ludwig_Purtscheller,8,21.0,1849_births,-0.6190476190476191,355,1
1326119,William_Wallace_Lincoln,519,1045.0,1850_births,-0.5033492822966508,403,1
